"id","section_id","title","order_number","url","description_id"
"19c4021d-e615-4649-ad0d-f36564a143dc","00950471-14e8-48ce-b191-4db30386af72","Какво е CSS?","10","https://www.loom.com/embed/9a8743a114d64210862222c96e51e905?sid=1b3bceef-7f50-42db-8b02-ebfa49141204","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"1a576421-ebfa-4eff-897d-288d606c95d3","7f104b96-60bf-4b7f-863c-7583897b078a","Създаване на таблица и управление на политики за сигурност","27","https://www.loom.com/embed/d5520ff197cd4beda7827fc9ad3e3f8e?sid=14f6b84d-c8fc-43a0-bb92-4013e33d0da1","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"1b6e2062-7e8c-4ec3-b23f-6b92e6458803","a31fdcd6-2c9e-4627-a639-9d2b5efb5074","Изглед за таблетите","85","https://www.loom.com/embed/5a8534cb433649988b4e227639cad856?sid=7f759f60-35e5-4896-a9ab-e21c40131e77","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"1c3e0ebb-b64b-42d9-a9be-fdda8af9b3c2","249c6614-b5f4-458b-9837-d1f4454c974d","Позициониране на нашите изображения","61","https://www.loom.com/embed/06ab5554b4024527bcbafe3c5a3a5ecd?sid=4bb59f3e-7476-42af-9090-589fb4088544","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"1d8db81c-2f4f-49b6-825d-604f9773cc46","2585dbe8-742c-440c-8bf1-fb5a7b940ab4","Как работят media заявките","55","https://www.loom.com/embed/71e4fff16f9c4ed68f686430f0f28976?sid=fb20ef99-8230-4dd8-813d-c195b80fbb70","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"1f69904f-c63a-41a4-a8d1-5a2142266e07","66bd1026-a3a7-4a45-92e5-ea06b91764bf","Псевдокласове","18","https://www.loom.com/embed/961ec736225341708d27e7c17f6e8e44?sid=f2fe1b82-75f4-40cc-a06c-4711d1fe969d","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"210e8c2d-ae06-479c-b487-58da39fe3150","66bd1026-a3a7-4a45-92e5-ea06b91764bf","Селектори по клас и ID","15","https://www.loom.com/embed/dc75d48e077041f5a51abd2a5f50b430?sid=3ceac647-98ff-401f-9eb9-273197c1413d","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"22ec79f7-338b-4207-9736-4268dbd84b8a","efd084e0-2f8d-40d3-81c5-c0090e40a018","One Page Love","26",,"4ebea56e-69b1-4222-9db1-bfc4b3f6121c"
"2365629c-461f-4200-b6ea-bab691234f86","9b649395-a843-45bf-b3bb-849884262530","Поставяне и разтягане на елементи в Grid","48","https://www.loom.com/embed/6905e802541442008ca1b268d93ce5e8?sid=86683804-e511-4522-b193-10180730b00b","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"23ab7cab-4963-4de4-a2d8-0a77213f96cd","13e1047d-4530-4c0a-887b-c43de1b48a19","Изграждане на формуляр","9","https://www.loom.com/embed/306dacdf7cf54a8689fd41303ba39d7a?sid=7cb0e777-6048-439a-b4ad-27853c182317","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"23ba04bf-114d-4a31-aca1-be415657fda8","efd084e0-2f8d-40d3-81c5-c0090e40a018","Dribbble","24",,"b88f529f-4945-4884-acad-d81323498e48"
"241689b0-1e84-43f8-ba69-4c025eac63cb","9b649395-a843-45bf-b3bb-849884262530","Общ преглед на CSS Grid","46","https://www.loom.com/embed/27ddaf043e2b433584a827b6884d4a1c?sid=f873e897-3a2c-4d1d-a9cf-0bb7235aa4cd","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"24811b34-1125-4938-811f-74e1ccc6238c","2b4b56cc-97fe-4211-b3e8-3c175ef37532","Оператори за логическо присвояване","68","https://www.loom.com/embed/595b18c327fb4722b3f3630fca22d97a?sid=e441b031-2b86-4359-a71f-f1846ea861a3","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"253aee71-48ce-4113-a27a-d3fd5dabb349","2b4b56cc-97fe-4211-b3e8-3c175ef37532","Коя структура от данни да използвате?","79","https://www.loom.com/embed/731c17cc3aa14f7c92df57e8b09246de?sid=ddc414bd-c401-493d-859c-d02d7787c788","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"25a8313f-a833-4c3b-a787-56f1773f91f7","a31fdcd6-2c9e-4627-a639-9d2b5efb5074","Въведение в проекта","69","https://www.loom.com/embed/8f045cd66eff4666a34ab71d55fd442f?sid=c217c97e-38cc-4218-90fe-72b9d00473fa","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"25c8d969-7c55-4c98-8bc0-cab058e8bed6","bf7c2023-a1ce-433c-801c-750caf99ebfa","Първият ни проект","1","https://www.loom.com/embed/4abe3eac856249e588dd43693bd39dd4?sid=54d3e880-8155-4c1a-ae4e-988945e29fe0","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"25fc02f3-d2d5-4ddb-9143-72b3d2c43b80","2585dbe8-742c-440c-8bf1-fb5a7b940ab4","Как да изберем точки на прекъсване","56","https://www.loom.com/embed/9697c507688e4e66b8397331caf905e3?sid=2f5be30a-a660-46d3-babf-764f04590829","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"26bb712f-8f55-4cd7-ae32-5da50a37048a","66bd1026-a3a7-4a45-92e5-ea06b91764bf","Използване на Chrome DevTools","20","https://www.loom.com/embed/e9698a6414d64c13b43247822faebb13?sid=45a30b3c-c833-49e6-86b2-3e96b3a744b3","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"28a58f71-7c33-4dac-8553-1865ae662cde","8c25c482-89ab-4138-bdc3-778f6d92904e","switch","19","https://www.loom.com/embed/7ae84fc62d0c4b31ad34cf9e6bd6b847?sid=a41cbca6-e03e-4f9b-94cf-bb7ef48ed453","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"2a0c1e8a-021c-44b3-ae31-740546dce66d","00950471-14e8-48ce-b191-4db30386af72","Важно умение","23","https://www.loom.com/embed/2bb8eb644dbd4252948152bc0a64926f?sid=173f0cde-d8f0-4288-a888-eafddad36e34","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"2b64a202-2125-419c-8b3b-7ba3f803baf9","9e0be2f0-c846-4d75-bef0-4eea53dc0276","Да упражним всичко научено. Бонус - ТЕСТ","59","https://www.loom.com/embed/4c085c5143594b0caaa973ded1ded21f?sid=7e6a19e6-acad-4389-a213-b54bee28354f","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"2bc4e542-f357-4744-839a-e2376945158e","9b649395-a843-45bf-b3bb-849884262530","Свойството flex","41","https://www.loom.com/embed/45d6082a2fbe4b4da93dec3192521c36?sid=616881ec-4f3d-4be3-9169-80b86fea5ebf","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"2c01c717-60ea-47a0-891e-a3d848aca0d9","9b649395-a843-45bf-b3bb-849884262530","Добавяне на Flexbox към нашия проект","42","https://www.loom.com/embed/0a52575ebbf04a36bd827310f5d1961b?sid=56e163d7-e03a-4d7b-9f7f-2a779099c66e","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"2dc12874-6aaa-44ad-b0db-4766e9c95ff5","5059497f-b66d-4aa2-adfb-7bcb84c4f256","Въведение","0","https://www.loom.com/embed/55f27f6d3ed94ca79a42e3786b7611b6?sid=bc4aefef-b23a-4629-88ec-9c77e555518b","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"30a9eb43-ee9f-4790-b502-ed9d01c06a13","8736c73a-5957-4407-bddb-f1d2a23eb55a","Google Fonts","14",,"2096b516-3f48-41ea-814b-538409d94ef7"
"310cd317-d9f9-49af-8d90-33a79ce66253","9b649395-a843-45bf-b3bb-849884262530","3-те начина за създаване на разпределения","37","https://www.loom.com/embed/58818971f1ce4aaab953cc76d251338e?sid=ac4f595c-557b-4978-acc5-a8ab24352b45","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"31a5d9b4-2e2c-40c5-97c8-07a7b033da9b","4aa4685f-519f-4512-b4b9-156246fdb5e0","Pexels","20",,"d9fe8218-f50b-43e4-a34e-5eae5ef6ae5a"
"3366ea6f-459e-4ffe-873f-ec9416dd9866","cdb18736-9ed1-4ad9-a6d1-f623ec08ed43","filter() и find()","42","https://www.loom.com/embed/92a8ef3041b643f1943b6e760592ee4c?sid=a829a6ac-799d-4152-b9f1-1fc65ee3e733","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
